reported_name,reported_name_fixed,scientificName,kingdom,phylum,class,order,family,db,db_code,ObservationType,Source,Field,DispersalDistance,Code,Database,Unit,Sex,Study duration (days),Comments
Catostomus commersonii,Catostomus commersonii,Catostomus commersonii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359014,radio-tracking,Brown et al. 2001,Mean_dispersal_distance_(m),277.64,MeanDispersalDistance,Comte & Olden,m,NA,7,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus commersonii,Catostomus commersonii,Catostomus commersonii,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359014,radio-tracking,Doherty et al. 2010,Mean_dispersal_distance_(m),1180,MeanDispersalDistance,Comte & Olden,m,NA,10,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus insignis,Catostomus insignis,Catostomus insignis,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359042,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),186,MeanDispersalDistance,Comte & Olden,m,NA,6.25,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus insignis,Catostomus insignis,Catostomus insignis,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359042,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),206,MeanDispersalDistance,Comte & Olden,m,NA,6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus insignis,Catostomus insignis,Catostomus insignis,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:2359042,radio-tracking,Booth et al. 2014,Mean_dispersal_distance_(m),253,MeanDispersalDistance,Comte & Olden,m,NA,6.89,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Catostomus occidentalis,Catostomus occidentalis,Catostomus occidentalis,Animalia,Chordata,NA,Cypriniformes,Catostomidae,gbif,GBIF:4286867,radio-tracking,Jeffres et al. 2006,Mean_dispersal_distance_(m),365.9,MeanDispersalDistance,Comte & Olden,m,NA,2.27,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chan argus,Chan argus,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Lapointe et al. 2013,Mean_dispersal_distance_(m),409,MeanDispersalDistance,Comte & Olden,m,NA,4,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chan argus,Chan argus,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Lapointe et al. 2013,Mean_dispersal_distance_(m),454,MeanDispersalDistance,Comte & Olden,m,NA,4.6,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chan argus,Chan argus,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Lapointe et al. 2013,Mean_dispersal_distance_(m),562,MeanDispersalDistance,Comte & Olden,m,NA,3.9,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chan argus,Chan argus,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Lapointe et al. 2013,Mean_dispersal_distance_(m),630,MeanDispersalDistance,Comte & Olden,m,NA,9.1,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chondrostoma sus,Chondrostoma sus,NA,NA,NA,NA,NA,NA,NA,NA,radio-tracking,Ovidio & Philippart 2008,Mean_dispersal_distance_(m),357.07,MeanDispersalDistance,Comte & Olden,m,NA,1.17,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),12.2,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),20.4,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),25.5,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),26.6,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),43.2,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),99.7,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
Chrosomus eos,Chrosomus eos,Chrosomus eos,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,gbif,GBIF:2365385,mark-release-recapture,Walker et al. 2013,Mean_dispersal_distance_(m),104.2,MeanDispersalDistance,Comte & Olden,m,NA,42,study duration is species-specific based on tracking or mark-recapture; STUDY DURATION IS MEAN TIME BETWEEN SIGHTINGS
