"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Database","Unit","Sex","ObservationTypeGeneral"
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706435","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","61","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Atriplex prostrata subsp. calotheca","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","55","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375388","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Carex extensa","Carex extensa","Carex extensa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726545","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","31","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","900","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Conyza canadensis","Conyza canadensis","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3146791","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","2500","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Crepis biennis","Crepis biennis","Crepis biennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403531","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","350","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Crepis capillaris","Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","650","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189172","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","3800","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Epilobium palustre","Epilobium palustre","Epilobium palustre","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3189080","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","7300","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Gentianella germanica","Gentianella germanica","Gentianella germanica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","gbif","GBIF:7539382","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)","0.8","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Holcus lanatus","Holcus lanatus","Holcus lanatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706164","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","340","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Hypochoeris radicata","Hypochoeris radicata","Hypochoeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7605771","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1900","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Juncus bufonius","Juncus bufonius","Juncus bufonius","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:6413649","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","100","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8058115","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","610","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Linum catharticum","Linum catharticum","Linum catharticum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","gbif","GBIF:2873865","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)","0.63","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Plantago major","Plantago major","Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:3189767","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","38","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Poa annua","Poa annua","Poa annua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704179","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","180","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Poa pratensis","Poa pratensis","Poa pratensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704178","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","25","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Ranunculus sceleratus","Ranunculus sceleratus","Ranunculus sceleratus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033374","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Salicornia europaea","Salicornia europaea","Salicornia europaea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:9823570","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","36","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Salix alba","Salix alba","Salix alba","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polycitoridae","gbif","GBIF:7882712","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","6500","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Scabiosa columbaria","Scabiosa columbaria","Scabiosa columbaria","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888802","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)","1.9","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3108983","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1200","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105813","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1100","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Spergularia marina","Spergularia marina","Spergularia marina","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:7736551","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","340","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Spergularia media","Spergularia media","Spergularia media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:10790895","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","130","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Suaeda maritima","Suaeda maritima","Suaeda maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083541","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","380","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5394163","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","620","MaxDispersalDistance","Tamme et al. 2014","m",NA,"seed dispersal"
