"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationType","Source","Field","DispersalDistance","Code","Database","Unit","Sex"
"Leuciscus leuciscus","Leuciscus leuciscus","Leuciscus leuciscus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409641","Radio-tracking","Clough & Beaumont 1998","Mean_dispersal_distance_(m)","135.84","MeanDispersalDistance","Comte & Olden","m",NA
"Leuciscus leuciscus","Leuciscus leuciscus","Leuciscus leuciscus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409641","Mark-Recapture","Penczak 2006","Mean_dispersal_distance_(m)","196.08","MeanDispersalDistance","Comte & Olden","m",NA
"Leuciscus leuciscus","Leuciscus leuciscus","Leuciscus leuciscus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409641","Mark-Recapture","Bolland et al. 2008","Mean_dispersal_distance_(m)","393.48","MeanDispersalDistance","Comte & Olden","m",NA
"Leuciscus leuciscus","Leuciscus leuciscus","Leuciscus leuciscus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:4409641","Mark-Recapture","Bolland et al. 2008","Mean_dispersal_distance_(m)","534.3","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Slavík et al. 2005","Mean_dispersal_distance_(m)","316.09","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Slavík et al. 2005","Mean_dispersal_distance_(m)","333.54","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Slavík et al. 2005","Mean_dispersal_distance_(m)","753.68","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Slavík et al. 2005","Mean_dispersal_distance_(m)","1523.2","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Slavík et al. 2005","Mean_dispersal_distance_(m)","2050.23","MeanDispersalDistance","Comte & Olden","m",NA
"Lota lota","Lota lota","Lota lota","Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","gbif","GBIF:2415460","Radio-tracking","Paragamian & Wakkinen 2008","Mean_dispersal_distance_(m)","20280","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Radio-tracking","Hafs et al. 2010","Mean_dispersal_distance_(m)","212","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Radio-tracking","Gunderson VanArnum et al. 2004","Mean_dispersal_distance_(m)","400","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Radio-tracking","Altnea 2003","Mean_dispersal_distance_(m)","426.19","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Radio-tracking","Hafs et al. 2010","Mean_dispersal_distance_(m)","429","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Radio-tracking","Hafs et al. 2010","Mean_dispersal_distance_(m)","458","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Mark-Recapture","Munther 1970","Mean_dispersal_distance_(m)","504.11","MeanDispersalDistance","Comte & Olden","m",NA
"Micropterus dolomieu","Micropterus dolomieu","Micropterus dolomieu","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","gbif","GBIF:5211250","Mark-Recapture","Brown 1961","Mean_dispersal_distance_(m)","3855.71","MeanDispersalDistance","Comte & Olden","m",NA
