"SpeciesChecked","Taxa","LifeSpan","Database","Field","Unit","phylum","class","order","family","genus","species"
"Progne subis","Progne subis","13.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne subis"
"Riparia riparia","Riparia riparia","10","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia"
"Tachycineta bicolor","Tachycineta bicolor","12.1","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"Molothrus ater","Molothrus ater","16.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater"
"Quiscalus major","Quiscalus major","13.91666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus major"
"Lanius ludovicianus","Lanius ludovicianus","12.5","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius ludovicianus"
"Toxostoma curvirostre","Toxostoma curvirostre","10.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma curvirostre"
"Motacilla alba","Motacilla alba","13.66666667","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla alba"
"Motacilla cinerea","Motacilla cinerea","8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla cinerea"
"Motacilla flava","Motacilla flava","8.834","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava"
"Erithacus rubecula","Erithacus rubecula","19.33333333","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Turdidae","Erithacus","Erithacus rubecula"
"Ficedula hypoleuca","Ficedula hypoleuca","15","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula hypoleuca"
"Muscicapa striata","Muscicapa striata","11.8","amphibio","maximum_longevity_y","yrs","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Muscicapa striata"
